class,method,iid,line,true,false,inference
net/tzolov/cv/mtcnn/MtcnnService,rawFaceDetection,215,215,23,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,rawFaceDetection,236,236,27,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,toFaceAnnotation,537,537,25,24,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,rawFaceDetection,214,214,23,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,toFaceAnnotation,530,530,3,24,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,341,341,1,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,107,107,0,4,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,280,280,0,24,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,122,122,0,4,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,101,101,0,4,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,toFaceAnnotation,534,534,24,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,303,303,13,12,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,outputStage,465,465,3,24,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,441,441,0,39,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,349,349,0,24,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,outputStage,500,500,24,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,preparationStage,255,255,23,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,446,446,43,38,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,445,445,81,39,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,301,301,25,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,bbreg,213,213,0,24,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,resize,572,572,23,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,faceDetection,159,159,25,26,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,74,74,4,4,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,lambda$nonMaxSuppression$4,334,334,1,17,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,330,330,12,0,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
edu/ucla/cs/FaceTest,faceApp,117,117,0,4,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,computeScalePyramid,78,78,138,23,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,337,337,11,1,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,451,451,14,25,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,lambda$outputStage$1,462,462,42,21,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
net/tzolov/cv/mtcnn/MtcnnService,outputStage,474,474,12,12,net/tzolov/cv/mtcnn/MtcnnService.outputStage:444
