class,method,iid,line,true,false,inference
net/tzolov/cv/mtcnn/MtcnnService,outputStage,417,417,21,74,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnService,refinementStage,381,381,28,46,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,pad,160,160,5,0,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnService,rawFaceDetection,215,215,13,0,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnService,rawFaceDetection,236,236,21,0,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnService,rawFaceDetection,214,214,13,0,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,pad,141,141,3,1,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,lambda$pad$2,156,156,5,213,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,pad,179,179,6,2,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,pad,123,123,2,1,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,pad,158,158,5,69,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,pad,121,121,3,71,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,toFaceAnnotation,530,530,21,0,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,341,341,44,100,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,280,280,0,74,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,pad,139,139,4,70,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,lambda$pad$3,175,175,10,208,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,303,303,72,146,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnService,outputStage,420,420,21,74,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,441,441,0,537,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnService,refinementStage,389,389,148,0,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,349,349,0,74,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnService,preparationStage,255,255,13,0,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,446,446,691,1754,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,445,445,2445,537,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,301,301,218,0,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnService,lambda$refinementStage$0,372,372,233,891,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,bbreg,213,213,0,74,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,lambda$pad$0,118,118,4,214,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnService,resize,572,572,231,0,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnService,faceDetection,159,159,0,21,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
edu/ucla/cs/FaceTest,faceApp,74,74,14,1,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,lambda$nonMaxSuppression$4,334,334,434,15,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,pad,177,177,8,66,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,330,330,0,146,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,rerec,258,258,0,74,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnService,computeTempImage,526,526,218,74,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,computeScalePyramid,78,78,80,13,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,nonMaxSuppression,337,337,2,144,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,getIndexWhereVector,451,451,299,238,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnUtil,lambda$pad$1,137,137,5,213,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnService,refinementStage,375,375,21,74,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
net/tzolov/cv/mtcnn/MtcnnService,computeTempImage,543,543,218,218,net/tzolov/cv/mtcnn/MtcnnService.refinementStage:363
